EmployeeID,Department,Salary,Tenure,Attrition,PerformanceRating,Age,Gender,JoiningDate,EducationLevel
3,Engineering,44969,56,No,3,32,Male,04-11-2023,Master
6,Engineering,47450,95,No,2,58,Male,06-02-2019,Bachelor
15,Engineering,53276,26,No,3,46,Male,25-10-2021,High School
23,Engineering,103056,84,No,4,22,Male,01-11-2015,High School
30,Engineering,101126,76,No,4,57,Male,23-12-2022,Bachelor
51,Engineering,94801,42,Yes,4,22,Female,23-10-2022,Bachelor
55,Engineering,75607,44,No,2,36,Male,21-05-2019,Master
58,Engineering,98085,14,No,2,53,Female,03-04-2021,Master
63,Engineering,88348,59,No,3,23,Female,01-07-2017,Master
64,Engineering,89997,57,No,1,55,Male,19-11-2018,Bachelor
70,Engineering,83352,89,Yes,1,31,Female,06-03-2016,Bachelor
76,Engineering,72432,103,No,1,35,Male,05-07-2020,Bachelor
77,Engineering,94142,97,No,1,50,Male,01-08-2022,Bachelor
86,Engineering,95844,50,No,3,39,Male,17-06-2020,Master
88,Engineering,92379,17,No,1,22,Male,26-02-2019,Bachelor
94,Engineering,104643,84,No,4,47,Female,22-12-2019,High School
95,Engineering,97274,47,No,2,28,Male,26-05-2016,Bachelor
99,Engineering,101258,61,No,4,47,Male,20-08-2024,Doctorate
104,Engineering,102210,117,No,5,53,Male,28-04-2020,High School
107,Engineering,44254,61,No,4,37,Male,11-02-2021,Doctorate
108,Engineering,89951,69,No,5,46,Male,22-04-2023,Bachelor
114,Engineering,81189,79,Yes,4,41,Female,23-08-2015,Bachelor
117,Engineering,62668,117,No,2,33,Male,28-03-2020,Doctorate
124,Engineering,53149,115,No,4,33,Male,15-11-2017,Doctorate
128,Engineering,43222,36,No,1,25,Male,19-05-2021,Bachelor
136,Engineering,59917,36,No,4,53,Female,13-04-2016,Bachelor
139,Engineering,119010,40,No,2,36,Male,02-11-2022,Bachelor
153,Engineering,63013,67,No,2,52,Female,23-10-2019,Bachelor
156,Engineering,115155,74,Yes,4,51,Female,29-01-2020,Bachelor
162,Engineering,44091,17,No,3,41,Female,10-04-2022,Bachelor
168,Engineering,45158,26,Yes,2,55,Male,07-08-2023,Bachelor
171,Engineering,92490,107,No,3,55,Female,29-01-2022,Master
179,Engineering,71594,102,No,3,59,Male,06-10-2015,Bachelor
180,Engineering,94995,46,No,4,55,Female,04-12-2023,Bachelor
184,Engineering,71154,32,No,3,51,Female,14-10-2018,Bachelor
185,Engineering,115225,55,No,3,26,Male,25-01-2023,Master
192,Engineering,92701,23,No,4,35,Male,16-10-2015,Doctorate
200,Engineering,106978,15,No,4,57,Male,24-04-2023,Bachelor
204,Engineering,96794,115,No,4,55,Male,28-05-2020,Master
207,Engineering,92848,16,No,5,50,Female,04-02-2015,Bachelor
215,Engineering,105666,75,Yes,2,52,Male,17-10-2024,Bachelor
224,Engineering,54391,67,Yes,5,36,Male,11-06-2018,Bachelor
225,Engineering,52934,54,No,4,23,Female,05-02-2024,Bachelor
232,Engineering,48711,59,Yes,5,27,Female,20-08-2018,Master
239,Engineering,105205,67,No,2,22,Female,10-06-2015,Bachelor
241,Engineering,42450,60,Yes,4,40,Male,31-05-2018,High School
243,Engineering,95301,104,No,3,60,Female,31-10-2019,Doctorate
247,Engineering,87710,32,No,4,41,Female,18-01-2015,Doctorate
249,Engineering,97065,39,No,4,27,Female,03-12-2016,High School
256,Engineering,81688,60,No,4,42,Female,10-09-2021,Bachelor
262,Engineering,91287,66,No,3,52,Female,15-08-2021,Master
264,Engineering,59701,87,Yes,1,26,Male,23-05-2020,Bachelor
274,Engineering,90720,17,No,5,25,Female,18-12-2017,Bachelor
277,Engineering,96405,70,No,4,51,Male,05-12-2019,Bachelor
278,Engineering,59691,114,No,1,53,Female,13-01-2024,Bachelor
280,Engineering,93050,87,Yes,4,24,Female,25-01-2021,Bachelor
286,Engineering,116283,72,No,5,26,Male,03-03-2019,Bachelor
290,Engineering,52452,88,No,4,27,Male,20-11-2024,Master
292,Engineering,104813,42,Yes,4,43,Female,16-05-2023,Doctorate
293,Engineering,74679,97,No,3,55,Male,08-04-2019,Bachelor
294,Engineering,60027,94,Yes,5,34,Female,17-01-2019,Bachelor
