EmployeeID,Department,Salary,Tenure,Attrition,PerformanceRating,Age,Gender,JoiningDate,EducationLevel
1,Finance,43238,75,No,5,36,Male,08-04-2015,Master
4,Finance,65143,93,No,5,43,Male,20-03-2018,Master
14,Finance,64202,34,No,4,36,Male,01-02-2016,Bachelor
20,Finance,114003,49,No,3,33,Male,18-04-2023,Bachelor
24,Finance,102318,53,No,5,43,Male,26-07-2022,Master
25,Finance,85611,77,No,1,46,Female,17-11-2017,Bachelor
26,Finance,45126,63,No,2,26,Female,13-11-2015,Master
27,Finance,87132,26,No,4,38,Female,22-09-2018,Master
31,Finance,118387,42,No,3,32,Male,14-05-2016,Doctorate
33,Finance,105616,69,No,4,32,Male,11-12-2024,Bachelor
34,Finance,44238,70,No,3,48,Male,04-04-2019,Bachelor
38,Finance,117012,41,No,2,23,Female,18-12-2018,Master
40,Finance,62298,48,Yes,2,50,Female,15-11-2023,Bachelor
42,Finance,102200,84,No,3,59,Female,27-09-2016,Bachelor
46,Finance,117763,76,No,5,25,Female,18-02-2018,Bachelor
54,Finance,45437,60,Yes,4,34,Male,15-09-2024,Master
59,Finance,80894,70,Yes,3,41,Male,25-09-2017,Bachelor
69,Finance,119284,37,No,3,26,Female,09-09-2020,Master
72,Finance,84474,80,Yes,4,30,Male,14-11-2019,Bachelor
73,Finance,105758,16,No,3,56,Male,30-08-2015,Doctorate
74,Finance,63894,106,No,4,46,Male,25-06-2017,Bachelor
78,Finance,117568,93,No,3,27,Male,27-09-2024,Bachelor
91,Finance,53212,118,Yes,4,27,Male,16-12-2017,Master
92,Finance,104426,32,No,2,30,Female,28-11-2016,Bachelor
97,Finance,62018,29,No,2,44,Male,13-05-2021,Bachelor
110,Finance,52360,110,No,2,54,Male,12-11-2021,Bachelor
112,Finance,91679,92,No,5,26,Male,02-01-2022,Bachelor
113,Finance,66999,43,Yes,2,27,Male,02-08-2017,Bachelor
119,Finance,77992,118,Yes,1,40,Female,21-12-2020,Bachelor
121,Finance,58915,27,Yes,2,23,Male,17-08-2020,Master
129,Finance,42199,90,No,3,28,Female,05-06-2023,Master
134,Finance,86035,109,No,4,46,Male,24-01-2023,Bachelor
140,Finance,81208,119,No,4,46,Male,21-09-2016,Doctorate
143,Finance,73399,44,No,3,57,Male,11-06-2020,Bachelor
148,Finance,63108,113,Yes,5,33,Male,15-10-2015,Master
157,Finance,58593,43,Yes,4,51,Female,19-10-2023,Master
173,Finance,48857,107,Yes,1,47,Female,21-02-2020,Bachelor
177,Finance,49787,42,No,3,28,Male,16-01-2020,Bachelor
182,Finance,80017,74,No,5,58,Male,26-05-2024,Master
186,Finance,60115,40,No,3,43,Male,11-09-2018,Master
188,Finance,114202,48,No,4,57,Male,04-11-2023,Bachelor
