EmployeeID,Department,Salary,Tenure,Attrition,PerformanceRating,Age,Gender,JoiningDate,EducationLevel
9,HR,55604,14,No,2,41,Female,30-03-2019,Bachelor
11,HR,58203,116,Yes,3,53,Female,14-07-2024,Bachelor
13,HR,55329,56,No,3,56,Female,26-08-2022,Bachelor
17,HR,41791,58,No,4,50,Male,15-12-2015,Bachelor
18,HR,71081,80,Yes,5,25,Male,24-03-2018,Bachelor
22,HR,50872,14,Yes,4,25,Female,03-07-2024,Bachelor
29,HR,85899,82,No,3,42,Male,24-02-2019,Bachelor
32,HR,118641,108,No,3,23,Male,18-08-2024,Master
35,HR,91356,30,No,4,46,Male,04-01-2023,Master
37,HR,102528,51,Yes,2,32,Male,20-11-2019,Master
43,HR,89615,86,No,3,54,Female,15-10-2019,Doctorate
44,HR,116723,53,No,2,55,Male,05-08-2021,High School
47,HR,58344,98,No,4,41,Male,05-03-2020,Doctorate
49,HR,64485,39,No,3,47,Female,12-03-2015,Bachelor
53,HR,79943,53,No,5,43,Male,12-03-2021,Master
56,HR,73814,87,No,4,52,Female,29-06-2018,Bachelor
57,HR,81750,88,Yes,3,40,Male,28-05-2016,Bachelor
61,HR,103351,101,No,2,54,Female,02-06-2022,Doctorate
62,HR,55276,102,No,4,49,Female,24-06-2016,Bachelor
66,HR,78235,85,No,3,55,Male,27-01-2021,Master
71,HR,104182,105,Yes,3,31,Female,23-05-2022,Bachelor
75,HR,108483,58,No,2,46,Female,14-12-2017,Bachelor
79,HR,42980,80,No,1,36,Male,11-04-2023,Bachelor
80,HR,47270,62,Yes,4,37,Female,03-04-2022,High School
82,HR,66800,83,No,3,27,Female,25-06-2016,Master
87,HR,44603,76,No,5,31,Male,12-04-2020,High School
89,HR,102617,78,No,2,56,Female,14-08-2016,Bachelor
93,HR,66925,86,Yes,1,43,Female,06-11-2015,Master
96,HR,49684,86,No,1,32,Male,21-08-2023,Master
102,HR,107851,55,No,1,57,Female,15-03-2016,Master
111,HR,106578,31,No,2,38,Male,28-07-2016,Bachelor
115,HR,76999,15,No,2,50,Male,16-04-2015,Bachelor
123,HR,47274,17,No,2,22,Male,05-09-2016,High School
126,HR,116575,39,Yes,2,32,Male,14-09-2017,Bachelor
127,HR,80645,39,No,2,38,Female,17-04-2020,Bachelor
130,HR,42654,115,No,3,57,Female,29-05-2020,Doctorate
132,HR,68231,114,No,3,28,Male,01-11-2016,Master
133,HR,54798,105,Yes,3,46,Female,03-09-2022,Master
135,HR,97671,81,Yes,3,23,Male,11-07-2019,Master
137,HR,103470,59,Yes,4,28,Female,07-04-2022,Doctorate
138,HR,92191,108,No,3,44,Male,09-11-2020,Master
145,HR,75046,106,No,5,25,Female,09-12-2022,Master
146,HR,49212,74,No,4,31,Male,18-02-2017,Bachelor
147,HR,68188,65,No,3,32,Female,26-01-2019,Master
149,HR,81705,38,No,3,51,Female,09-03-2017,Bachelor
150,HR,99823,111,No,2,23,Male,29-03-2022,Bachelor
151,HR,67282,105,No,3,44,Female,30-12-2016,High School
152,HR,99091,74,Yes,2,41,Male,19-06-2024,Doctorate
158,HR,83347,115,No,4,23,Female,04-01-2021,Master
163,HR,114310,107,No,3,35,Female,24-11-2020,Master
164,HR,93953,101,Yes,3,44,Male,28-09-2022,Bachelor
165,HR,97809,38,No,4,53,Male,21-11-2015,Doctorate
167,HR,93592,70,No,2,33,Male,15-12-2024,Bachelor
174,HR,93751,47,No,3,38,Male,08-08-2017,Master
175,HR,100609,85,No,3,60,Female,09-12-2022,Bachelor
176,HR,70416,74,No,4,48,Female,15-11-2015,Master
181,HR,75512,94,No,2,42,Male,07-07-2022,High School
183,HR,114678,91,No,4,36,Male,04-07-2020,Bachelor
190,HR,42450,49,No,5,23,Female,28-08-2019,Doctorate
191,HR,85225,87,No,2,27,Female,01-09-2024,High School
193,HR,63204,22,No,3,38,Male,22-05-2015,Bachelor
195,HR,65970,106,No,1,33,Male,09-02-2017,Bachelor
196,HR,42476,40,Yes,4,54,Male,13-12-2015,Bachelor
199,HR,71492,50,No,3,38,Male,20-04-2022,Bachelor
202,HR,95552,114,Yes,5,54,Male,27-10-2020,Master
203,HR,43816,114,No,3,40,Male,14-09-2015,Master
217,HR,111651,86,No,5,33,Male,27-08-2021,High School
