EmployeeID,Department,Salary,Tenure,Attrition,PerformanceRating,Age,Gender,JoiningDate,EducationLevel
2,Marketing,46177,14,Yes,3,54,Female,31-07-2015,Master
5,Marketing,59036,40,No,4,35,Female,25-06-2020,Bachelor
7,Marketing,45773,91,No,4,51,Female,18-03-2022,Bachelor
8,Marketing,116768,12,No,2,48,Male,08-11-2019,Bachelor
10,Marketing,50628,102,No,3,43,Female,30-12-2016,Doctorate
12,Marketing,92948,107,No,5,23,Male,21-01-2015,Bachelor
16,Marketing,67961,47,Yes,1,33,Female,08-05-2016,Bachelor
19,Marketing,54510,29,No,2,44,Male,08-06-2023,High School
21,Marketing,83089,15,Yes,5,40,Male,21-11-2015,Master
28,Marketing,100816,56,Yes,2,34,Male,09-06-2018,Bachelor
36,Marketing,46019,89,No,3,59,Male,24-08-2016,Bachelor
39,Marketing,102956,83,Yes,3,41,Male,21-07-2015,Bachelor
41,Marketing,67152,34,No,3,28,Female,02-03-2017,Bachelor
45,Marketing,63327,49,No,3,40,Female,16-10-2015,Bachelor
48,Marketing,86895,99,Yes,3,32,Male,17-09-2024,Doctorate
50,Marketing,110177,114,No,1,26,Female,21-02-2018,Bachelor
52,Marketing,58035,117,No,2,59,Female,01-09-2021,Master
60,Marketing,51224,41,Yes,2,25,Male,17-06-2023,Doctorate
65,Marketing,116183,52,No,4,45,Female,09-04-2017,Bachelor
67,Marketing,47860,23,No,5,51,Female,03-08-2020,Master
68,Marketing,50203,12,No,3,27,Male,04-09-2022,Master
81,Marketing,62204,62,No,2,30,Male,28-07-2024,Bachelor
83,Marketing,103779,45,No,3,29,Female,04-12-2023,Bachelor
84,Marketing,65707,38,No,1,53,Male,09-01-2022,Bachelor
85,Marketing,79333,82,No,1,58,Female,30-01-2020,Master
90,Marketing,95822,114,No,4,50,Male,19-12-2018,Bachelor
98,Marketing,101524,63,No,1,44,Female,29-01-2020,Bachelor
100,Marketing,105441,57,Yes,5,47,Female,01-05-2016,Bachelor
101,Marketing,59402,47,No,4,28,Female,05-02-2023,Master
103,Marketing,87129,90,No,4,35,Female,10-12-2023,Master
105,Marketing,59110,48,No,4,38,Female,12-07-2017,High School
106,Marketing,65065,15,No,2,48,Female,27-03-2020,Master
109,Marketing,77683,51,No,3,30,Male,21-10-2024,High School
116,Marketing,59271,103,No,4,55,Male,01-03-2017,Bachelor
118,Marketing,63065,97,No,2,48,Female,10-03-2016,Bachelor
120,Marketing,89821,16,No,3,38,Male,19-09-2024,High School
122,Marketing,97908,66,No,2,51,Female,25-01-2015,Master
125,Marketing,58597,31,No,2,48,Male,18-07-2015,Bachelor
131,Marketing,68693,103,No,1,32,Male,14-01-2023,Master
141,Marketing,100239,27,No,2,35,Male,08-12-2018,Doctorate
142,Marketing,87302,61,No,2,59,Male,18-02-2016,Master
144,Marketing,73770,77,No,3,31,Male,29-12-2020,Master
154,Marketing,107486,87,Yes,5,41,Male,03-04-2022,Bachelor
155,Marketing,91234,80,Yes,3,59,Female,25-01-2022,Master
159,Marketing,89578,73,Yes,3,38,Male,09-05-2023,Bachelor
160,Marketing,44255,60,No,4,40,Male,20-08-2016,Bachelor
161,Marketing,66479,26,Yes,2,51,Male,11-05-2020,Bachelor
166,Marketing,107915,53,No,4,60,Female,16-01-2022,Doctorate
169,Marketing,72557,110,No,4,41,Female,15-04-2016,Bachelor
170,Marketing,48538,60,No,4,36,Female,07-04-2019,High School
172,Marketing,42860,76,No,3,31,Male,17-07-2015,Bachelor
178,Marketing,83529,119,Yes,4,45,Male,09-02-2021,Bachelor
187,Marketing,107573,93,No,3,24,Female,10-08-2015,Master
189,Marketing,90034,39,No,2,52,Male,30-06-2018,Master
198,Marketing,42241,33,No,3,37,Female,23-06-2024,High School
208,Marketing,70960,55,No,4,30,Female,18-02-2019,Bachelor
210,Marketing,45229,96,No,1,39,Female,01-07-2020,Bachelor
211,Marketing,43217,65,No,4,25,Female,12-04-2024,Master
212,Marketing,114082,69,No,3,59,Male,06-02-2018,High School
214,Marketing,79347,50,No,5,22,Female,01-09-2017,High School
216,Marketing,88292,104,No,3,56,Female,18-04-2019,Bachelor
221,Marketing,110823,105,No,2,38,Male,18-02-2023,Bachelor
226,Marketing,111498,120,No,2,38,Female,19-06-2020,Doctorate
227,Marketing,107554,44,No,5,54,Female,31-01-2020,Bachelor
228,Marketing,58776,24,Yes,3,33,Male,19-10-2017,Master
229,Marketing,66573,30,No,4,43,Male,22-04-2021,Bachelor
230,Marketing,75228,99,No,3,54,Male,20-07-2024,Master
235,Marketing,117726,73,No,5,40,Female,03-08-2021,Bachelor
240,Marketing,51158,103,No,5,42,Male,20-07-2018,Doctorate
244,Marketing,51344,40,No,5,54,Female,24-01-2024,Bachelor
246,Marketing,45514,74,Yes,4,26,Female,29-06-2016,Doctorate
251,Marketing,73677,51,No,2,29,Male,11-08-2019,Bachelor
255,Marketing,67955,35,No,2,24,Female,26-09-2020,Master
258,Marketing,63497,50,No,4,39,Male,07-09-2016,Bachelor
263,Marketing,93669,15,Yes,1,28,Male,21-11-2021,Master
265,Marketing,106357,69,No,5,57,Male,11-02-2018,Doctorate
267,Marketing,103645,100,No,3,33,Male,28-09-2015,Bachelor
272,Marketing,97122,115,No,4,53,Male,31-05-2019,Master
283,Marketing,58225,52,No,3,33,Male,19-11-2019,High School
288,Marketing,110969,52,No,2,31,Female,09-03-2023,Doctorate
289,Marketing,71193,39,No,5,39,Female,24-08-2022,Master
300,Marketing,87733,120,No,5,52,Male,11-06-2022,Bachelor
301,Marketing,42369,89,No,2,57,Female,16-07-2023,Bachelor
304,Marketing,113798,14,Yes,5,56,Male,08-06-2019,Bachelor
308,Marketing,89314,98,Yes,3,59,Female,11-04-2024,High School
313,Marketing,92937,24,No,1,59,Female,14-05-2015,Master
316,Marketing,85538,120,No,3,46,Female,29-09-2020,Bachelor
317,Marketing,112687,23,No,3,28,Male,05-08-2022,Bachelor
327,Marketing,71431,52,Yes,5,41,Female,10-03-2016,Master
330,Marketing,110156,61,No,3,35,Female,07-09-2020,Master
337,Marketing,115464,39,No,3,50,Female,17-12-2017,Master
338,Marketing,113218,101,No,5,24,Female,21-07-2021,Doctorate
339,Marketing,49219,37,No,5,27,Female,06-09-2022,Bachelor
341,Marketing,66167,17,No,1,34,Female,05-08-2021,Master
347,Marketing,90422,99,No,1,24,Female,27-12-2023,Bachelor
350,Marketing,71696,50,No,2,43,Female,24-06-2020,Bachelor
355,Marketing,47621,103,No,2,23,Female,29-11-2022,Bachelor
356,Marketing,45563,18,No,1,40,Female,30-03-2020,Bachelor
361,Marketing,104484,97,No,1,43,Female,12-08-2020,Bachelor
365,Marketing,103687,50,No,4,43,Male,20-11-2018,Bachelor
367,Marketing,85000,24,No,2,40,Male,16-02-2022,Bachelor
369,Marketing,62901,113,Yes,4,52,Female,29-05-2024,High School
370,Marketing,96810,38,No,5,54,Male,12-03-2023,Bachelor
372,Marketing,55590,119,No,4,40,Male,14-01-2018,Bachelor
375,Marketing,74258,26,Yes,4,57,Male,02-11-2015,Master
377,Marketing,57129,35,No,4,44,Female,26-04-2021,Bachelor
379,Marketing,69969,104,Yes,4,55,Female,16-12-2020,Bachelor
386,Marketing,81944,12,Yes,5,28,Male,24-01-2020,Doctorate
391,Marketing,100568,76,No,4,43,Female,31-12-2020,Bachelor
394,Marketing,77608,99,No,4,35,Male,04-02-2021,Bachelor
